Sample description: 
Sample:   c= 2.9 mg/ml  Code: LipH_dTMDdVD_Tris
Parent(s): analysis/processed/subtracted/LipH_dTMDdVD_Tris_0019_sub.dat
 5.618120e-001  9.770000e-003  1.273986e-004
 5.645960e-001  9.657324e-003  1.284517e-004
 5.673790e-001  9.606172e-003  1.299962e-004
 5.701630e-001  9.551910e-003  1.299140e-004
 5.729460e-001  9.658283e-003  1.303512e-004
 5.757300e-001  9.532900e-003  1.294851e-004
 5.785130e-001  9.327490e-003  1.308792e-004
 5.812970e-001  9.580448e-003  1.327074e-004
 5.840800e-001  9.477883e-003  1.303212e-004
 5.868640e-001  9.260017e-003  1.327106e-004
 5.896470e-001  9.114707e-003  1.306569e-004
 5.924310e-001  8.945666e-003  1.310488e-004
 5.952150e-001  8.784134e-003  1.306013e-004
 5.979980e-001  9.127907e-003  1.287901e-004
 6.007820e-001  8.842062e-003  1.291889e-004
 6.035650e-001  8.892590e-003  1.260321e-004
 6.063490e-001  8.687934e-003  1.244932e-004
 6.091320e-001  8.691462e-003  1.242213e-004
 6.119160e-001  8.616514e-003  1.218288e-004
 6.146990e-001  8.539145e-003  1.221653e-004
 6.174830e-001  8.432003e-003  1.205323e-004
 6.202660e-001  8.383034e-003  1.199989e-004
 6.230500e-001  8.308193e-003  1.190544e-004
 6.258340e-001  8.199993e-003  1.179343e-004
 6.286170e-001  8.045510e-003  1.184048e-004
 6.314010e-001  8.434890e-003  1.170032e-004
 6.341840e-001  8.223828e-003  1.169243e-004
 6.369680e-001  8.047090e-003  1.162286e-004
 6.397510e-001  7.948693e-003  1.164635e-004
 6.425350e-001  7.700893e-003  1.150550e-004
 6.453180e-001  7.831941e-003  1.146870e-004
 6.481020e-001  7.677066e-003  1.145636e-004
 6.508850e-001  7.668503e-003  1.143308e-004
 6.536690e-001  7.690166e-003  1.132697e-004
 6.564520e-001  7.280917e-003  1.121550e-004
 6.592360e-001  7.578807e-003  1.122754e-004
 6.620200e-001  7.566903e-003  1.119419e-004
 6.648030e-001  7.391493e-003  1.110716e-004
 6.675870e-001  7.169876e-003  1.101101e-004
 6.703700e-001  7.293334e-003  1.097282e-004
 6.731540e-001  7.282666e-003  1.096953e-004
 6.759370e-001  7.056748e-003  1.084660e-004
 6.787210e-001  7.159410e-003  1.079605e-004
 6.815040e-001  7.012248e-003  1.084415e-004
 6.842880e-001  6.995445e-003  1.071877e-004
 6.870710e-001  6.818772e-003  1.076366e-004
 6.898550e-001  6.871072e-003  1.070690e-004
 6.926380e-001  6.842314e-003  1.064450e-004
 6.954220e-001  6.674431e-003  1.068512e-004
 6.982060e-001  6.675541e-003  1.058371e-004
 7.009890e-001  6.481007e-003  1.060592e-004
 7.037730e-001  6.566234e-003  1.060643e-004
 7.065560e-001  6.418834e-003  1.053671e-004
 7.093400e-001  6.675328e-003  1.065997e-004
 7.121230e-001  6.300328e-003  1.045296e-004
 7.149070e-001  6.363186e-003  1.056516e-004
 7.176900e-001  6.153083e-003  1.041610e-004
 7.204740e-001  6.256338e-003  1.044197e-004
 7.232570e-001  6.154572e-003  1.039062e-004
 7.260410e-001  6.227503e-003  1.036734e-004
 7.288250e-001  6.184383e-003  1.044636e-004
 7.316080e-001  5.969138e-003  1.033429e-004
 7.343920e-001  5.915845e-003  1.026264e-004
 7.371750e-001  5.916490e-003  1.024081e-004
 7.399590e-001  5.784476e-003  1.017720e-004
 7.427420e-001  5.859821e-003  1.020138e-004
 7.455260e-001  5.825476e-003  1.019071e-004
 7.483090e-001  5.772559e-003  1.014551e-004
 7.510930e-001  5.764510e-003  1.011535e-004
 7.538760e-001  5.632107e-003  1.000796e-004
 7.566600e-001  5.717283e-003  1.012011e-004
 7.594430e-001  5.663666e-003  1.000429e-004
 7.622270e-001  5.472041e-003  9.997731e-005
 7.650110e-001  5.338869e-003  9.919200e-005
 7.677940e-001  5.454552e-003  9.911272e-005
 7.705780e-001  5.390376e-003  9.863541e-005
 7.733610e-001  5.281341e-003  9.838083e-005
 7.761450e-001  5.403679e-003  9.863045e-005
 7.789280e-001  5.246628e-003  9.804003e-005
 7.817120e-001  5.259955e-003  9.846355e-005
 7.844950e-001  5.255579e-003  9.718817e-005
 7.872790e-001  5.055841e-003  9.735317e-005
 7.900620e-001  5.155914e-003  9.693752e-005
 7.928460e-001  5.005490e-003  9.696610e-005
 7.956300e-001  5.086993e-003  9.919900e-005
 7.984130e-001  4.912986e-003  9.961259e-005
 8.011970e-001  4.842379e-003  1.002694e-004
 8.039800e-001  5.071569e-003  1.014689e-004
 8.067640e-001  4.847979e-003  1.011367e-004
 8.095470e-001  4.741293e-003  1.018480e-004
 8.123310e-001  4.635555e-003  1.017848e-004
 8.151140e-001  4.640483e-003  1.020047e-004
 8.178980e-001  4.788928e-003  1.031925e-004
 8.206810e-001  4.632724e-003  1.023077e-004
 8.234650e-001  4.644459e-003  1.019047e-004
 8.262480e-001  4.424759e-003  1.019463e-004
 8.290320e-001  4.393428e-003  1.027267e-004
 8.318160e-001  4.457341e-003  1.020289e-004
 8.345990e-001  4.337252e-003  9.879376e-005
 8.373830e-001  4.441217e-003  9.802852e-005
 8.401660e-001  4.256248e-003  9.695155e-005
 8.429500e-001  4.291848e-003  9.650003e-005
 8.457330e-001  4.355934e-003  9.568824e-005
 8.485170e-001  4.201541e-003  9.408207e-005
 8.513000e-001  4.201721e-003  9.351679e-005
 8.540840e-001  4.047207e-003  9.328093e-005
 8.568670e-001  4.098466e-003  9.296293e-005
 8.596510e-001  4.229724e-003  9.275217e-005
 8.624340e-001  4.127572e-003  9.291024e-005
